date,aqi
2023-01-01,253
2023-01-02,313
2023-01-03,453
2023-01-04,373
2023-01-05,362
2023-01-06,298
2023-01-07,243
2023-01-08,202
2023-01-09,323
2023-01-10,444
2023-01-11,357
2023-01-12,352
2023-01-13,228
2023-01-14,254
2023-01-15,271
2023-01-16,365
2023-01-17,406
2023-01-18,258
2023-01-19,331
2023-01-20,340
2023-01-21,308
2023-01-22,230
2023-01-23,358
2023-01-24,373
2023-01-25,357
2023-01-26,276
2023-01-27,456
2023-01-28,274
2023-01-29,199
2023-01-30,275
2023-01-31,263
2023-02-01,414
2023-02-02,350
2023-02-03,266
2023-02-04,195
2023-02-05,220
2023-02-06,401
2023-02-07,310
2023-02-08,337
2023-02-09,287
2023-02-10,326
2023-02-11,217
2023-02-12,263
2023-02-13,294
2023-02-14,352
2023-02-15,248
2023-02-16,351
2023-02-17,212
2023-02-18,331
2023-02-19,227
2023-02-20,256
2023-02-21,351
2023-02-22,400
2023-02-23,220
2023-02-24,341
2023-02-25,251
2023-02-26,259
2023-02-27,372
2023-02-28,272
2023-03-01,191
2023-03-02,201
2023-03-03,236
2023-03-04,115
2023-03-05,103
2023-03-06,249
2023-03-07,124
2023-03-08,178
2023-03-09,253
2023-03-10,101
2023-03-11,129
2023-03-12,195
2023-03-13,142
2023-03-14,109
2023-03-15,231
2023-03-16,86
2023-03-17,88
2023-03-18,118
2023-03-19,141
2023-03-20,255
2023-03-21,258
2023-03-22,155
2023-03-23,166
2023-03-24,158
2023-03-25,179
2023-03-26,171
2023-03-27,98
2023-03-28,270
2023-03-29,196
2023-03-30,109
2023-03-31,148
2023-04-01,139
2023-04-02,169
2023-04-03,140
2023-04-04,203
2023-04-05,116
2023-04-06,250
2023-04-07,209
2023-04-08,181
2023-04-09,91
2023-04-10,182
2023-04-11,151
2023-04-12,240
2023-04-13,186
2023-04-14,155
2023-04-15,186
2023-04-16,138
2023-04-17,270
2023-04-18,265
2023-04-19,242
2023-04-20,216
2023-04-21,193
2023-04-22,175
2023-04-23,161
2023-04-24,198
2023-04-25,154
2023-04-26,161
2023-04-27,147
2023-04-28,173
2023-04-29,182
2023-04-30,113
2023-05-01,157
2023-05-02,184
2023-05-03,199
2023-05-04,181
2023-05-05,134
2023-05-06,187
2023-05-07,107
2023-05-08,243
2023-05-09,254
2023-05-10,138
2023-05-11,191
2023-05-12,193
2023-05-13,170
2023-05-14,158
2023-05-15,227
2023-05-16,226
2023-05-17,166
2023-05-18,100
2023-05-19,182
